Job_Title,Average_Salary,Years_Experience,Education_Level,AI_Exposure_Index,Tech_Growth_Factor,Automation_Probability_2030,Risk_Category,Skill_1,Skill_2,Skill_3,Skill_4,Skill_5,Skill_6,Skill_7,Skill_8,Skill_9,Skill_10,Experience_Band,Income_Band,Job_Sector,Labour_Group
Security Guard,45795,28,Master's,0.18,1.28,0.85,High,0.45,0.1,0.46,0.33,0.14,0.65,0.06,0.72,0.94,0.0,Expert/Late,Middle,Security & Protective Services,Manual_Trade_Service
Research Scientist,133355,20,PhD,0.62,1.11,0.05,Low,0.02,0.52,0.4,0.05,0.97,0.23,0.09,0.62,0.38,0.98,Expert/Late,High,Research & Development,Digital_Creative
Construction Worker,146216,2,High School,0.86,1.18,0.81,High,0.01,0.94,0.56,0.39,0.02,0.23,0.24,0.68,0.61,0.83,Early Career,High,Construction,Manual_Trade_Service
Software Engineer,136530,13,PhD,0.39,0.68,0.6,Medium,0.43,0.21,0.57,0.03,0.84,0.45,0.4,0.93,0.73,0.33,Senior,High,Digital & Technology,Digital_Creative
Financial Analyst,70397,22,High School,0.52,1.46,0.64,Medium,0.75,0.54,0.59,0.97,0.61,0.28,0.3,0.17,0.02,0.42,Expert/Late,Middle,Finance & Professional Services,Private_Professional
AI Engineer,92592,11,Master's,0.29,0.51,0.1,Low,0.71,0.79,0.61,0.93,0.65,0.91,0.85,0.45,0.1,0.37,Senior,Middle,Digital & Technology,Digital_Creative
Mechanic,107373,23,PhD,0.67,1.09,0.41,Medium,0.56,0.38,0.97,0.85,0.72,0.24,0.26,0.04,0.71,0.11,Expert/Late,High,Transport & Automotive Services,Manual_Trade_Service
Teacher,53419,12,High School,0.2,1.4,0.17,Low,0.56,0.7,0.14,0.6,0.54,0.2,0.94,0.6,0.69,0.88,Senior,Middle,Education,Public_Sector
HR Specialist,139225,12,Master's,0.3,0.61,0.48,Medium,0.22,0.42,0.88,0.32,0.12,0.36,0.91,0.27,0.65,0.0,Senior,High,Business & Professional Services,Private_Professional
Customer Support,85016,2,High School,0.01,1.01,0.8,High,0.22,0.12,0.34,0.94,0.32,0.52,0.7,0.36,0.97,0.96,Early Career,Middle,Customer Service,Manual_Trade_Service
UX Researcher,82733,6,High School,0.5,0.8,0.41,Medium,0.04,0.61,0.5,0.05,0.28,0.91,0.24,0.14,0.49,0.99,Mid-Level,Middle,Digital & Creative Industries,Digital_Creative
Financial Analyst,117455,22,High School,0.67,1.26,0.4,Medium,0.73,0.37,0.63,0.63,0.54,0.09,0.84,0.32,0.19,0.04,Expert/Late,High,Finance & Professional Services,Private_Professional
Lawyer,79811,27,High School,0.68,0.52,0.5,Medium,0.23,0.65,0.17,0.69,0.39,0.94,0.14,0.34,0.11,0.92,Expert/Late,Middle,Legal Services,Private_Professional
Data Scientist,115981,9,High School,0.26,1.16,0.63,Medium,0.56,0.53,0.24,0.09,0.9,0.9,0.63,0.34,0.35,0.73,Mid-Level,High,Digital & Technology,Digital_Creative
Research Scientist,96690,19,Master's,0.89,1.28,0.21,Low,0.08,0.16,0.9,0.61,0.01,0.1,0.66,0.01,0.16,0.55,Senior,Middle,Research & Development,Digital_Creative
Graphic Designer,32869,2,High School,0.65,0.72,0.58,Medium,0.24,0.33,0.75,0.65,0.85,0.66,0.57,0.09,0.37,0.27,Early Career,Middle,Creative Industries,Digital_Creative
Teacher,36893,29,Bachelor's,0.97,0.89,0.27,Low,0.63,0.79,0.5,0.58,0.49,0.2,0.72,0.28,0.02,0.65,Expert/Late,Middle,Education,Public_Sector
Teacher,103744,11,Bachelor's,0.94,1.45,0.28,Low,0.37,0.02,0.93,0.43,0.97,0.96,0.85,0.29,0.39,0.85,Senior,High,Education,Public_Sector
Retail Worker,148015,2,PhD,0.17,1.06,0.93,High,0.7,0.57,0.1,0.62,0.99,0.14,0.52,0.88,0.74,0.7,Early Career,High,Retail & Consumer Services,Manual_Trade_Service
Doctor,108069,15,Master's,0.55,0.8,0.15,Low,0.26,0.61,0.08,0.01,0.63,0.19,0.07,0.4,0.05,0.89,Senior,High,Health & Social Care,Public_Sector
AI Engineer,43403,1,High School,0.09,1.08,0.06,Low,0.47,0.54,0.29,0.59,0.03,0.04,0.82,0.36,0.13,0.52,Entry/Junior,Middle,Digital & Technology,Digital_Creative
HR Specialist,49508,27,Bachelor's,0.22,1.12,0.33,Medium,0.05,0.53,0.54,0.64,0.73,0.98,0.52,0.32,0.8,0.27,Expert/Late,Middle,Business & Professional Services,Private_Professional
Teacher,58251,25,PhD,0.08,0.53,0.29,Low,0.84,0.7,0.41,0.17,0.16,0.25,0.55,0.71,0.66,0.28,Expert/Late,Middle,Education,Public_Sector
Financial Analyst,33343,28,High School,0.74,1.05,0.54,Medium,0.42,0.25,0.36,0.76,0.01,0.12,0.05,0.04,0.86,0.7,Expert/Late,Middle,Finance & Professional Services,Private_Professional
AI Engineer,125435,15,PhD,0.1,0.99,0.17,Low,0.17,0.43,0.4,0.62,0.64,0.05,0.37,0.63,0.5,0.86,Senior,High,Digital & Technology,Digital_Creative
Software Engineer,39540,12,High School,0.16,0.57,0.56,Medium,0.03,0.59,0.94,0.58,0.39,0.64,0.46,0.55,0.94,0.39,Senior,Middle,Digital & Technology,Digital_Creative
Mechanic,68304,7,Master's,0.91,0.7,0.33,Medium,0.1,0.02,0.09,0.68,0.07,0.32,0.84,0.02,0.81,0.28,Mid-Level,Middle,Transport & Automotive Services,Manual_Trade_Service
Customer Support,33267,25,PhD,0.7,1.13,0.92,High,0.74,0.8,0.28,0.18,0.75,0.81,0.99,0.41,0.37,0.78,Expert/Late,Middle,Customer Service,Manual_Trade_Service
HR Specialist,89031,22,Master's,0.93,1.36,0.47,Medium,0.75,0.75,0.1,0.9,0.51,0.83,0.32,0.9,0.39,0.01,Expert/Late,Middle,Business & Professional Services,Private_Professional
HR Specialist,102936,18,Master's,0.09,0.82,0.68,Medium,0.95,0.57,0.63,0.45,0.29,0.33,0.67,0.75,0.79,0.79,Senior,High,Business & Professional Services,Private_Professional
Teacher,114076,20,Master's,0.49,0.56,0.19,Low,0.44,0.89,0.35,0.12,0.14,0.76,0.62,0.1,0.08,0.7,Expert/Late,High,Education,Public_Sector
Retail Worker,69081,8,High School,0.82,1.21,0.72,High,0.08,0.99,0.37,0.37,0.81,0.95,0.99,0.75,0.38,0.08,Mid-Level,Middle,Retail & Consumer Services,Manual_Trade_Service
Retail Worker,102124,11,Bachelor's,0.56,0.92,0.93,High,0.11,0.49,0.01,0.47,0.06,0.12,0.12,0.65,0.75,0.58,Senior,High,Retail & Consumer Services,Manual_Trade_Service
Truck Driver,91629,24,High School,0.37,0.79,0.92,High,0.22,0.96,0.01,0.97,0.04,0.89,0.53,0.99,0.07,0.55,Expert/Late,Middle,Transport & Logistics,Manual_Trade_Service
Teacher,43843,24,PhD,0.52,1.13,0.22,Low,0.45,0.63,0.58,0.9,0.05,0.28,0.95,0.89,0.46,0.62,Expert/Late,Middle,Education,Public_Sector
Mechanic,59703,25,Bachelor's,0.19,0.96,0.44,Medium,0.58,0.08,0.97,0.99,0.7,0.54,0.31,0.81,0.68,0.16,Expert/Late,Middle,Transport & Automotive Services,Manual_Trade_Service
Mechanic,64349,2,Bachelor's,0.82,1.45,0.59,Medium,0.61,0.42,0.93,0.87,0.05,0.03,0.38,0.81,0.99,0.15,Early Career,Middle,Transport & Automotive Services,Manual_Trade_Service
Customer Support,92292,25,Bachelor's,0.38,1.47,0.91,High,0.84,0.47,0.41,0.27,0.06,0.86,0.81,1.0,1.0,0.56,Expert/Late,Middle,Customer Service,Manual_Trade_Service
Chef,53524,20,PhD,0.94,1.35,0.4,Medium,0.45,0.13,0.95,0.61,0.23,0.67,0.62,0.36,0.11,0.67,Expert/Late,Middle,Hospitality & Catering,Manual_Trade_Service
Retail Worker,88017,21,Bachelor's,0.77,1.02,0.91,High,0.55,0.56,0.88,0.4,0.13,0.03,0.76,0.62,0.7,0.21,Expert/Late,Middle,Retail & Consumer Services,Manual_Trade_Service
Graphic Designer,111317,27,PhD,0.98,1.11,0.55,Medium,0.55,0.09,0.73,0.55,0.45,0.91,0.3,0.52,0.7,0.8,Expert/Late,High,Creative Industries,Digital_Creative
Doctor,144825,23,Bachelor's,0.84,1.27,0.07,Low,0.05,0.62,0.35,0.21,0.58,0.34,0.54,0.46,0.58,0.4,Expert/Late,High,Health & Social Care,Public_Sector
Research Scientist,52415,7,PhD,0.18,1.2,0.15,Low,0.87,0.52,0.97,0.6,0.22,0.82,0.35,0.35,0.03,0.55,Mid-Level,Middle,Research & Development,Digital_Creative
Construction Worker,134680,11,PhD,0.21,0.86,0.83,High,0.69,0.04,0.8,0.63,0.08,0.87,0.92,0.06,0.28,0.81,Senior,High,Construction,Manual_Trade_Service
Customer Support,109714,28,PhD,0.99,1.04,0.93,High,0.24,0.76,0.53,0.72,0.06,0.15,0.13,0.69,0.84,0.75,Expert/Late,High,Customer Service,Manual_Trade_Service
Data Scientist,97067,12,High School,0.87,0.85,0.46,Medium,0.1,0.74,0.18,0.56,0.84,0.09,0.54,0.23,0.34,0.47,Senior,Middle,Digital & Technology,Digital_Creative
Construction Worker,37561,2,Master's,0.65,0.98,0.85,High,0.74,0.56,0.59,0.56,0.38,0.34,0.9,0.61,0.24,0.5,Early Career,Middle,Construction,Manual_Trade_Service
Teacher,142581,4,High School,0.93,0.51,0.11,Low,0.37,0.49,0.85,0.09,0.81,0.06,0.84,0.05,0.02,0.7,Early Career,High,Education,Public_Sector
UX Researcher,39111,5,Bachelor's,0.4,1.47,0.65,Medium,0.82,0.26,0.17,0.67,0.93,0.56,0.57,0.28,0.77,0.19,Mid-Level,Middle,Digital & Creative Industries,Digital_Creative
Retail Worker,72101,3,High School,0.43,1.01,0.76,High,0.11,0.61,0.29,0.58,0.15,0.48,0.53,0.05,0.34,0.13,Early Career,Middle,Retail & Consumer Services,Manual_Trade_Service
Security Guard,117958,9,High School,0.99,0.82,0.9,High,0.25,0.68,0.76,0.6,0.47,0.41,0.35,0.93,0.83,0.97,Mid-Level,High,Security & Protective Services,Manual_Trade_Service
AI Engineer,97444,23,High School,0.99,0.71,0.14,Low,0.93,0.72,0.05,0.78,0.83,0.75,0.8,0.83,0.19,0.24,Expert/Late,Middle,Digital & Technology,Digital_Creative
AI Engineer,30077,25,High School,0.91,0.82,0.2,Low,0.68,0.45,0.71,0.9,0.62,0.54,0.44,0.58,0.36,0.39,Expert/Late,Low,Digital & Technology,Digital_Creative
UX Researcher,148721,13,High School,0.07,0.73,0.52,Medium,0.43,0.33,0.73,0.69,0.17,0.88,0.5,0.74,0.57,1.0,Senior,High,Digital & Creative Industries,Digital_Creative
Customer Support,127720,0,High School,0.71,1.28,0.74,High,0.2,0.71,0.49,0.75,0.1,0.54,0.38,0.46,0.6,0.5,Entry/Junior,High,Customer Service,Manual_Trade_Service
Data Scientist,50103,4,Master's,0.49,0.91,0.61,Medium,0.01,0.6,0.57,0.72,0.6,0.83,0.96,0.34,0.23,0.42,Early Career,Middle,Digital & Technology,Digital_Creative
Graphic Designer,145033,13,High School,0.61,1.41,0.36,Medium,0.1,0.26,0.73,0.59,0.1,0.92,0.79,0.02,0.65,0.77,Senior,High,Creative Industries,Digital_Creative
Doctor,95310,25,Bachelor's,0.07,0.58,0.08,Low,0.84,0.91,0.12,0.24,0.17,0.19,0.84,0.33,0.31,0.23,Expert/Late,Middle,Health & Social Care,Public_Sector
Mechanic,93374,20,Master's,0.38,1.24,0.38,Medium,0.79,0.6,0.11,0.41,0.86,0.92,0.47,0.48,0.92,0.59,Expert/Late,Middle,Transport & Automotive Services,Manual_Trade_Service
Research Scientist,71914,11,Master's,0.91,0.75,0.19,Low,0.17,0.03,0.31,0.78,0.28,0.22,0.21,0.52,0.98,0.46,Senior,Middle,Research & Development,Digital_Creative
Financial Analyst,132547,21,PhD,0.86,1.04,0.37,Medium,0.3,0.31,0.4,0.43,0.8,0.35,0.47,0.62,0.38,0.84,Expert/Late,High,Finance & Professional Services,Private_Professional
UX Researcher,119106,17,Master's,0.29,1.21,0.51,Medium,0.53,0.48,0.5,0.77,0.1,0.33,0.08,0.75,0.27,0.9,Senior,High,Digital & Creative Industries,Digital_Creative
UX Researcher,82603,0,High School,0.03,0.66,0.59,Medium,0.66,0.03,0.22,0.23,0.67,0.02,0.1,0.8,0.18,0.65,Entry/Junior,Middle,Digital & Creative Industries,Digital_Creative
Security Guard,131358,7,Bachelor's,0.1,0.74,0.88,High,0.86,0.83,0.4,0.67,0.2,0.29,0.9,0.01,0.09,0.21,Mid-Level,High,Security & Protective Services,Manual_Trade_Service
Security Guard,83394,15,High School,0.18,1.08,0.81,High,0.89,0.82,0.34,0.26,0.38,0.59,0.27,0.62,0.41,0.55,Senior,Middle,Security & Protective Services,Manual_Trade_Service
Nurse,92516,11,Bachelor's,0.22,1.47,0.24,Low,0.11,0.57,0.99,0.47,0.18,0.48,0.51,0.74,0.7,0.4,Senior,Middle,Health & Social Care,Public_Sector
Graphic Designer,53752,21,Master's,0.65,0.92,0.35,Medium,0.9,0.69,0.68,0.82,0.53,0.82,0.5,0.07,0.41,0.5,Expert/Late,Middle,Creative Industries,Digital_Creative
AI Engineer,108411,22,PhD,0.11,0.64,0.12,Low,0.27,0.73,0.25,0.63,0.49,0.57,0.84,0.4,0.77,0.42,Expert/Late,High,Digital & Technology,Digital_Creative
